Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Month,Hour,Minutes,Sales,City,State
235593,iPhone,1,700.0,2019-07-29 01:53:00,"305 11th St, Atlanta, GA 30301",7,1,53,700.0,Atlanta,GA 30301
235597,iPhone,1,700.0,2019-07-01 20:22:00,"452 North St, Boston, MA 02215",7,20,22,700.0,Boston,MA 02215
235651,iPhone,1,700.0,2019-07-20 19:48:00,"65 8th St, New York City, NY 10001",7,19,48,700.0,New York City,NY 10001
235669,iPhone,1,700.0,2019-07-29 15:39:00,"594 North St, Austin, TX 73301",7,15,39,700.0,Austin,TX 73301
235695,iPhone,1,700.0,2019-07-08 12:09:00,"227 Elm St, Dallas, TX 75001",7,12,9,700.0,Dallas,TX 75001
235709,iPhone,1,700.0,2019-07-28 17:17:00,"547 7th St, Los Angeles, CA 90001",7,17,17,700.0,Los Angeles,CA 90001
235724,iPhone,1,700.0,2019-07-04 22:15:00,"778 Cherry St, Atlanta, GA 30301",7,22,15,700.0,Atlanta,GA 30301
235728,iPhone,1,700.0,2019-07-16 12:54:00,"415 Highland St, Dallas, TX 75001",7,12,54,700.0,Dallas,TX 75001
235815,iPhone,1,700.0,2019-07-16 14:04:00,"135 Lake St, Seattle, WA 98101",7,14,4,700.0,Seattle,WA 98101
235816,iPhone,1,700.0,2019-07-13 17:05:00,"726 12th St, Los Angeles, CA 90001",7,17,5,700.0,Los Angeles,CA 90001
235840,iPhone,1,700.0,2019-07-28 10:33:00,"303 Forest St, Portland, OR 97035",7,10,33,700.0,Portland,OR 97035
235921,iPhone,1,700.0,2019-07-27 14:32:00,"620 Spruce St, Boston, MA 02215",7,14,32,700.0,Boston,MA 02215
235925,iPhone,1,700.0,2019-07-16 10:53:00,"605 Madison St, Los Angeles, CA 90001",7,10,53,700.0,Los Angeles,CA 90001
235941,iPhone,1,700.0,2019-07-18 19:29:00,"878 1st St, New York City, NY 10001",7,19,29,700.0,New York City,NY 10001
236012,iPhone,1,700.0,2019-07-03 20:29:00,"76 7th St, Dallas, TX 75001",7,20,29,700.0,Dallas,TX 75001
236028,iPhone,1,700.0,2019-07-04 00:56:00,"711 Sunset St, New York City, NY 10001",7,0,56,700.0,New York City,NY 10001
236035,iPhone,1,700.0,2019-07-30 00:04:00,"100 Walnut St, Austin, TX 73301",7,0,4,700.0,Austin,TX 73301
236048,iPhone,1,700.0,2019-07-31 21:08:00,"89 Main St, San Francisco, CA 94016",7,21,8,700.0,San Francisco,CA 94016
236068,iPhone,1,700.0,2019-07-20 13:29:00,"918 Adams St, San Francisco, CA 94016",7,13,29,700.0,San Francisco,CA 94016
236109,iPhone,1,700.0,2019-07-17 11:32:00,"737 Church St, San Francisco, CA 94016",7,11,32,700.0,San Francisco,CA 94016
236121,iPhone,1,700.0,2019-07-09 15:30:00,"739 Dogwood St, Portland, OR 97035",7,15,30,700.0,Portland,OR 97035
236129,iPhone,1,700.0,2019-07-28 17:55:00,"660 14th St, Dallas, TX 75001",7,17,55,700.0,Dallas,TX 75001
236152,iPhone,1,700.0,2019-07-29 23:19:00,"806 North St, New York City, NY 10001",7,23,19,700.0,New York City,NY 10001
236221,iPhone,1,700.0,2019-07-20 21:16:00,"514 Jefferson St, Atlanta, GA 30301",7,21,16,700.0,Atlanta,GA 30301
236314,iPhone,1,700.0,2019-07-28 06:29:00,"137 West St, San Francisco, CA 94016",7,6,29,700.0,San Francisco,CA 94016
236319,iPhone,1,700.0,2019-07-07 06:43:00,"633 Sunset St, Atlanta, GA 30301",7,6,43,700.0,Atlanta,GA 30301
236348,iPhone,1,700.0,2019-07-15 22:04:00,"730 13th St, Boston, MA 02215",7,22,4,700.0,Boston,MA 02215
236392,iPhone,1,700.0,2019-07-05 14:58:00,"883 Lakeview St, Los Angeles, CA 90001",7,14,58,700.0,Los Angeles,CA 90001
236397,iPhone,1,700.0,2019-07-29 19:00:00,"604 Walnut St, Dallas, TX 75001",7,19,0,700.0,Dallas,TX 75001
236418,iPhone,1,700.0,2019-07-02 18:42:00,"911 Forest St, San Francisco, CA 94016",7,18,42,700.0,San Francisco,CA 94016
236507,iPhone,1,700.0,2019-07-04 06:47:00,"255 Elm St, San Francisco, CA 94016",7,6,47,700.0,San Francisco,CA 94016
236539,iPhone,1,700.0,2019-07-18 17:19:00,"197 Lincoln St, Boston, MA 02215",7,17,19,700.0,Boston,MA 02215
236540,iPhone,1,700.0,2019-07-03 13:46:00,"170 Main St, Los Angeles, CA 90001",7,13,46,700.0,Los Angeles,CA 90001
236602,iPhone,1,700.0,2019-07-07 01:02:00,"185 1st St, San Francisco, CA 94016",7,1,2,700.0,San Francisco,CA 94016
236634,iPhone,1,700.0,2019-07-30 17:12:00,"399 Spruce St, Portland, OR 97035",7,17,12,700.0,Portland,OR 97035
236672,iPhone,1,700.0,2019-08-06 14:40:00,"149 7th St, Portland, OR 97035",8,14,40,700.0,Portland,OR 97035
236709,iPhone,1,700.0,2019-08-04 09:00:00,"869 Jackson St, San Francisco, CA 94016",8,9,0,700.0,San Francisco,CA 94016
236729,iPhone,1,700.0,2019-08-09 09:28:00,"635 Lake St, San Francisco, CA 94016",8,9,28,700.0,San Francisco,CA 94016
236767,iPhone,1,700.0,2019-08-09 13:51:00,"41 Adams St, Dallas, TX 75001",8,13,51,700.0,Dallas,TX 75001
236788,iPhone,1,700.0,2019-08-21 12:09:00,"598 13th St, Los Angeles, CA 90001",8,12,9,700.0,Los Angeles,CA 90001
236928,iPhone,1,700.0,2019-08-22 08:30:00,"319 12th St, San Francisco, CA 94016",8,8,30,700.0,San Francisco,CA 94016
236932,iPhone,1,700.0,2019-08-18 18:52:00,"428 Hickory St, Seattle, WA 98101",8,18,52,700.0,Seattle,WA 98101
236952,iPhone,1,700.0,2019-08-01 16:01:00,"386 7th St, Boston, MA 02215",8,16,1,700.0,Boston,MA 02215
236975,iPhone,1,700.0,2019-08-02 10:47:00,"799 Walnut St, Los Angeles, CA 90001",8,10,47,700.0,Los Angeles,CA 90001
236981,iPhone,1,700.0,2019-08-05 11:38:00,"499 River St, New York City, NY 10001",8,11,38,700.0,New York City,NY 10001
237008,iPhone,1,700.0,2019-08-03 09:50:00,"407 9th St, New York City, NY 10001",8,9,50,700.0,New York City,NY 10001
237013,iPhone,1,700.0,2019-08-06 07:13:00,"720 12th St, Los Angeles, CA 90001",8,7,13,700.0,Los Angeles,CA 90001
237054,iPhone,1,700.0,2019-08-19 08:07:00,"243 Jefferson St, Los Angeles, CA 90001",8,8,7,700.0,Los Angeles,CA 90001
237067,iPhone,1,700.0,2019-08-11 19:08:00,"730 West St, Boston, MA 02215",8,19,8,700.0,Boston,MA 02215
237111,iPhone,1,700.0,2019-08-31 00:33:00,"89 Church St, San Francisco, CA 94016",8,0,33,700.0,San Francisco,CA 94016
237148,iPhone,1,700.0,2019-08-22 16:48:00,"605 Lakeview St, San Francisco, CA 94016",8,16,48,700.0,San Francisco,CA 94016
237168,iPhone,1,700.0,2019-08-22 13:26:00,"637 Elm St, Seattle, WA 98101",8,13,26,700.0,Seattle,WA 98101
237172,iPhone,1,700.0,2019-08-31 20:37:00,"265 Hickory St, Portland, OR 97035",8,20,37,700.0,Portland,OR 97035
237218,iPhone,1,700.0,2019-08-07 15:45:00,"492 Spruce St, San Francisco, CA 94016",8,15,45,700.0,San Francisco,CA 94016
237241,iPhone,1,700.0,2019-08-20 16:21:00,"402 1st St, Austin, TX 73301",8,16,21,700.0,Austin,TX 73301
237251,iPhone,1,700.0,2019-08-30 11:18:00,"542 River St, New York City, NY 10001",8,11,18,700.0,New York City,NY 10001
237267,iPhone,1,700.0,2019-08-17 17:11:00,"368 Wilson St, New York City, NY 10001",8,17,11,700.0,New York City,NY 10001
237306,iPhone,1,700.0,2019-08-10 14:24:00,"121 14th St, Boston, MA 02215",8,14,24,700.0,Boston,MA 02215
237360,iPhone,1,700.0,2019-08-26 20:01:00,"891 12th St, Los Angeles, CA 90001",8,20,1,700.0,Los Angeles,CA 90001
237416,iPhone,1,700.0,2019-08-18 16:30:00,"176 6th St, San Francisco, CA 94016",8,16,30,700.0,San Francisco,CA 94016
237500,iPhone,1,700.0,2019-08-31 07:40:00,"965 Main St, Los Angeles, CA 90001",8,7,40,700.0,Los Angeles,CA 90001
237509,iPhone,1,700.0,2019-08-16 17:55:00,"74 West St, San Francisco, CA 94016",8,17,55,700.0,San Francisco,CA 94016
237526,iPhone,1,700.0,2019-08-01 17:07:00,"145 Meadow St, Austin, TX 73301",8,17,7,700.0,Austin,TX 73301
237551,iPhone,1,700.0,2019-08-18 19:55:00,"743 Madison St, San Francisco, CA 94016",8,19,55,700.0,San Francisco,CA 94016
237555,iPhone,1,700.0,2019-08-20 07:42:00,"897 Park St, San Francisco, CA 94016",8,7,42,700.0,San Francisco,CA 94016
237556,iPhone,1,700.0,2019-08-23 19:20:00,"503 Washington St, New York City, NY 10001",8,19,20,700.0,New York City,NY 10001
237679,iPhone,1,700.0,2019-08-30 00:21:00,"621 Johnson St, New York City, NY 10001",8,0,21,700.0,New York City,NY 10001
237777,iPhone,1,700.0,2019-08-14 18:08:00,"711 Maple St, Boston, MA 02215",8,18,8,700.0,Boston,MA 02215
237801,iPhone,1,700.0,2019-08-10 13:56:00,"535 4th St, Boston, MA 02215",8,13,56,700.0,Boston,MA 02215
237820,iPhone,1,700.0,2019-08-11 17:17:00,"507 Hill St, Portland, OR 97035",8,17,17,700.0,Portland,OR 97035
237839,iPhone,1,700.0,2019-08-13 12:56:00,"445 8th St, New York City, NY 10001",8,12,56,700.0,New York City,NY 10001
237852,iPhone,1,700.0,2019-08-01 21:42:00,"563 Johnson St, New York City, NY 10001",8,21,42,700.0,New York City,NY 10001
